pid,id_inst,nm_inst,id_auth,nm_auth
1997618055,13955877,Bar-Ilan University,630663198,S. Havlin
1997618055,1299303238,National Institutes of Health,2277655375,J. E. Kiefer
1997618055,111088046,Boston University,2687434336,F. Leyvraz
1997618055,1299303238,National Institutes of Health,2170005615,G. H. Weiss
2567559624,102322142,Rutgers University,2676495439,Saurabh Verma
2567559624,102322142,Rutgers University,2224091813,Ali Hamieh
2567559624,82514191,Honeywell,2226230899,Jun Ho Huh
2567559624,,,2572517437,Henrik Holm
2567559624,,,2104409682,Siva Raj Rajagopalan
2567559624,98358874,Delft University of Technology,2230179082,Maciej Korczynski
2567559624,102322142,Rutgers University,705403811,Nina H. Fefferman
633268674,165799507,Rensselaer Polytechnic Institute,2307977268,Xiaozheng He
633268674,,,2135988025,Henry X Liu
633268674,130238516,University of Minnesota,2720791771,Xinyu Jason Cao
2175489171,149461666,Ca' Foscari University of Venice,2099116529,Fabiana Zollo
2175489171,,"IUSS, Pavia, Italy",1478651034,Alessandro Bessi
2175489171,127077003,IMT Institute for Advanced Studies Lucca,2149004180,Michela Del Vicario
2175489171,127077003,IMT Institute for Advanced Studies Lucca,1387271665,Antonio Scala
2175489171,127077003,IMT Institute for Advanced Studies Lucca,2021652723,Guido Caldarelli
2175489171,13955877,Bar-Ilan University,2004600928,Louis M. Shekhtman
2175489171,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2175489171,127077003,IMT Institute for Advanced Studies Lucca,2026883446,Walter Quattrociocchi
2070301037,111088046,Boston University,2118062109,Shuai Shao
2070301037,111088046,Boston University,2170521119,Xuqing Huang
2070301037,111088046,Boston University,2420755856,H. Eugene Stanley
2070301037,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2083719221,82880672,Beihang University,2098036285,Daqing Li
2083719221,82880672,Beihang University,2307991474,Bowen Fu
2083719221,82880672,Beihang University,2694862243,Yunpeng Wang
2083719221,82880672,Beihang University,2672764211,Guangquan Lu
2083719221,13955877,Bar-Ilan University,2054154116,Yehiel Berezin
2083719221,111088046,Boston University,2420755856,H. Eugene Stanley
2083719221,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2087346837,,,2779023414,Diego Rybski
2087346837,,,60142663,Sergey V. Buldyrev
2087346837,,,630663198,Shlomo Havlin
2087346837,,,60870194,Fredrik Liljeros
2087346837,,,157725681,Hernán A. Makse
2150813086,13955877,Bar-Ilan University,2188885655,S. Rabinovich
2150813086,13955877,Bar-Ilan University,1385565713,G. Berkolaiko
2150813086,13955877,Bar-Ilan University,630663198,S. Havlin
2097566841,111088046,Boston University,328544140,Nikolay V. Dokholyan
2097566841,111088046,Boston University,60142663,Sergey V. Buldyrev
2097566841,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2097566841,111088046,Boston University,2420755856,H. Eugene Stanley
2085636024,111088046,Boston University,2110611655,C.-K. Peng
2085636024,1316535847,Beth Israel Deaconess Medical Center,1985944484,J.M. Hausdorff
2085636024,13955877,Bar-Ilan University,630663198,S. Havlin
2085636024,1316535847,Beth Israel Deaconess Medical Center,2046870848,J.E. Mietus
2085636024,111088046,Boston University,2135798086,H.E. Stanley
2085636024,1316535847,Beth Israel Deaconess Medical Center,2109444309,A.L. Goldberger
2094394082,,,2170173092,Hervé Sigal
2094394082,,,2302623427,Dimitra Markovitsi
2094394082,,,265631590,Lazaros K. Gallos
2094394082,,,209105663,Panos Argyrakis
605129406,82880672,Beihang University,2098036285,Daqing Li
605129406,82880672,Beihang University,2230890885,Qiong Zhang
605129406,93860229,Polytechnic University of Milan,2076144126,Enrico Zio
605129406,13955877,Bar-Ilan University,630663198,Shlomo Havlin
605129406,82880672,Beihang University,2142049922,Rui Kang
2604323967,,,2647916421,Yanqing Hu
2604323967,,,630663198,Shlomo Havlin
2604323967,,,157725681,Hernan Makse
2810757261,,,2182939817,Jingfang Fan
2810757261,,,2516733500,Jun Meng
2810757261,,,2050239695,Yosef Ashkenazy
2810757261,,,630663198,Shlomo Havlin
2810757261,,,2042102862,Hans Joachim Schellnhuber
2094724422,13955877,Bar-Ilan University,630663198,S Havlin
2094724422,13955877,Bar-Ilan University,2638386473,A Bunde
2094724422,13955877,Bar-Ilan University,2882395263,J Kiefer
2101449612,111088046,Boston University,2139989448,Lidia A. Braunstein
2101449612,111088046,Boston University,60142663,Sergey V. Buldyrev
2101449612,111088046,Boston University,2256714466,Sameet Sreenivasan
2101449612,13955877,Bar-Ilan University,2617115591,Reuven Cohen
2101449612,111088046,Boston University,630663198,Shlomo Havlin
2101449612,111088046,Boston University,2420755856,H. Eugene Stanley
2166527315,121934306,Tufts University,2091837159,Eric T Lofgren
2166527315,121934306,Tufts University,705403811,Nina H. Fefferman
2166527315,121934306,Tufts University,2101783366,Meena Doshi
2166527315,121934306,Tufts University,2059851128,Elena N. Naumova
2005012271,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2005012271,,,2146860111,Raoul Kopelman
2005012271,27837315,University of Michigan,2108644119,Rodney Schoonover
2005012271,1299303238,National Institutes of Health,2170005615,George H. Weiss
1992758545,,,1992431487,Bradford R. Greening
1992758545,,,705403811,Nina H. Fefferman
2002672163,13955877,Bar-Ilan University,2151733601,Stefanie Russ
2002672163,200763008,University of Giessen,1970256922,Jan W. Kantelhardt
2002672163,200763008,University of Giessen,219989508,Armin Bunde
2002672163,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2002672163,13955877,Bar-Ilan University,2790105931,Itzhak Webman
2243932501,,,265631590,Lazaros Gallos
2243932501,,,2617115591,Reuven Cohen
2243932501,,,209105663,Panos Argyrakis
2243932501,,,219989508,Armin Bunde
2243932501,,,630663198,Shlomo Havlin
167203450,165799507,Rensselaer Polytechnic Institute,2307977268,Xiaozheng He
167203450,121980950,Utah State University,2422256038,Anthony Chen
167203450,102322142,Rutgers University,423679732,Wanpracha Art Chaovalitwongse
167203450,130238516,University of Minnesota,2135988025,Henry Liu
2050004872,219193219,Purdue University,2577906831,Caitlin A. Grady
2050004872,165799507,Rensselaer Polytechnic Institute,2307977268,Xiaozheng He
2050004872,219193219,Purdue University,52109667,Srinivas Peeta
18728981,13955877,Bar-Ilan University,2617115591,Reuven Cohen
18728981,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2004059334,,,60142663,Sergey V. Buldyrev
2004059334,,,630663198,Shlomo Havlin
2004059334,,,1887629390,Janos Kertész
2004059334,,,2098405677,Arkady Shehter
2004059334,,,2420755856,H. Eugene Stanley
1824152488,111088046,Boston University,2110611655,C.-K. Peng
1824152488,13955877,Bar-Ilan University,630663198,S. Havlin
1824152488,111088046,Boston University,1985944484,J.M. Hausdorff
1824152488,136199984,Harvard University,2046870848,J.E. Mietus
1824152488,111088046,Boston University,2135798086,H.E. Stanley
1824152488,111088046,Boston University,2109444309,A.L. Goldberger
2026287024,111088046,Boston University,2160059110,Michael H. R. Stanley
2026287024,111088046,Boston University,2171851496,Luís A. N. Amaral
2026287024,111088046,Boston University,60142663,Sergey V. Buldyrev
2026287024,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2026287024,111088046,Boston University,1224047765,Heiko Leschhorn
2026287024,111088046,Boston University,1978339960,Philipp Maass
2026287024,111088046,Boston University,2094357556,Michael A. Salinger
2026287024,111088046,Boston University,2420755856,H. Eugene Stanley
2034761869,189712700,University of Konstanz,219989508,Armin Bunde
2034761869,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2020730579,,,2438697203,Xiao-Hong Wang
2020730579,,,630663198,Shlomo Havlin
2020730579,,,2114740295,Moshe Schwartz
2613641784,,,724611050,Andrea Egizi
2613641784,,,705403811,Nina H. Fefferman
2613641784,,,2137683846,Robert A. Jordan
2740647653,,,2167333762,Gregorio D'Agostino
2740647653,,,2133561219,Huijuan Wang
2740647653,98358874,Delft University of Technology,2764236724,Piet Van Mieghem
2740647653,,,630663198,Shlomo Havlin
2740647653,,,2131857706,Eugene Stanley
2026424465,,,630663198,S. Havlin
2026424465,,,2190946209,M. Araujo
2026424465,,,2143497428,H. Larralde
2026424465,,,2098405677,A. Shehter
2026424465,,,2135798086,H.E. Stanley
2104080979,,,2107568982,Eduardo López
2104080979,,,2617354297,Sergey V. Buldyrev
2104080979,,,2139989448,Lidia A. Braunstein
2104080979,,,630663198,Shlomo Havlin
2104080979,111088046,Boston University,2420755856,H. Eugene Stanley
2013786020,111088046,Boston University,2420755856,H.Eugene Stanley
2013786020,243754102,Federal University of Ceará,2100808128,José S. Andrade
2013786020,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2013786020,111088046,Boston University,157725681,Hernán A. Makse
2013786020,111088046,Boston University,1972394786,Béla Suki
2025550035,13955877,Bar-Ilan University,2617115591,Reuven Cohen
2025550035,13955877,Bar-Ilan University,298118114,Keren Erez
2025550035,16944753,Clarkson University,1978877024,Daniel ben-Avraham
2025550035,13955877,Bar-Ilan University,630663198,Shlomo Havlin
2040259648,13955877,Bar-Ilan University,1999399921,N. Madar
2040259648,13955877,Bar-Ilan University,860821246,T. Kalisky
2040259648,13955877,Bar-Ilan University,2617115591,R. Cohen
2040259648,16944753,Clarkson University,1978877024,D. ben-Avraham
2040259648,13955877,Bar-Ilan University,630663198,S. Havlin
