id_auth1,nm_auth1,id_inst1,nm_inst1,lat1,lng1,id_auth2,nm_auth2,id_inst2,nm_inst2,lat2,lng2
2302623427,D. Markovitsi,1294671590,Centre national de la recherche scientifique,48.8476037,2.2639934,2099662317,Arnaud Germain,,"Centre d'etudes de Saclay,France",48.73668,2.180034
2307977268,Xiaozheng He,165799507,Rensselaer Polytechnic Institute,42.730172,-73.67880300000002,2632613129,Satish Ukkusuri,219193219,Purdue University,40.4237054,-86.92119459999999
630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876,2420755856,H. Eugene Stanley,111088046,Boston University,42.3504997,-71.1053991
630663198,Shlomo Havlin,111088046,Boston University,42.3504997,-71.1053991,2420755856,H. Eugene Stanley,176453806,University of Potsdam,52.4010314,13.0119098
630663198,S Havlin,1299303238,National Institutes of Health,33.0784879,-111.7386357,2420755856,H. Eugene Stanley,13955877,Bar-Ilan University,32.0691989,34.8430876
2264124252,Huifang Hao,115592961,Jiangsu University,32.19758100000001,119.466296,630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876
2590606560,Zhiyi Xu,130238516,University of Minnesota,44.97399,-93.2277285,2785741741,Yan Huang,130238516,University of Minnesota,44.97399,-93.2277285
2804638559,Pablo Jensen,111088046,Boston University,42.3504997,-71.1053991,2195478976,Albert-László Barabási,12912129,Northeastern University,42.3398067,-71.0891717
2902157680,Niels Schwartz,13955877,Bar-Ilan University,32.0691989,34.8430876,2617115591,Reuven Cohen,13955877,Bar-Ilan University,32.0691989,34.8430876
2161761848,Amir Bashan,13955877,Bar-Ilan University,32.0691989,34.8430876,100627464,Nadav M. Shnerb,13955877,Bar-Ilan University,32.0691989,34.8430876
2091837159,Eric T Lofgren,121934306,Tufts University,42.4074843,-71.1190232,2059851128,Elena N. Naumova,121934306,Tufts University,42.4074843,-71.1190232
2855383081,P.A. Prince,141816643,Natural Environment Research Council,45.41819779999999,-75.7031372,2094357556,Michael A. Salinger,111088046,Boston University,42.3504997,-71.1053991
630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876,2475280313,P. R. King,241749,University of Cambridge,52.2042666,0.1149085
630663198,Shlomo Havlin,111088046,Boston University,42.3504997,-71.1053991,2475280313,P. R. King,,BP Exploration Operating Company Ltd.,29.7614914,-95.6205844
630663198,S Havlin,1299303238,National Institutes of Health,33.0784879,-111.7386357,2475280313,Peter King,153648349,University of Leicester,52.6211393,-1.1246325
2135798086,H.E. Stanley,111088046,Boston University,42.3504997,-71.1053991,2142507764,S. Schwarzer,111088046,Boston University,42.3504997,-71.1053991
2135798086,Harry Eugene Stanley,53241121,Facultad de Ciencias Exactas y Naturales,31.8643581,-116.6680794,2142507764,Stefan Schwarzer,13955877,Bar-Ilan University,32.0691989,34.8430876
2076570365,George K. Christophides,47508984,Imperial College London,51.49879970000001,-0.1748772,1513214656,Folashade Agusto,184692499,Austin Peay State University,36.53498,-87.3548855
2189457381,D Movshovitz,13955877,Bar-Ilan University,32.0691989,34.8430876,2854886238,B L Trus,13955877,Bar-Ilan University,32.0691989,34.8430876
2237120080,P Meakin,1316910977,DuPont,36.2267173,-95.2803572,630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876
2237120080,Meakin P,184942183,University of Oslo,59.9399586,10.7217496,630663198,Shlomo Havlin,111088046,Boston University,42.3504997,-71.1053991
2237120080,Paul Meakin,84392919,Temple University,39.9811935,-75.1553512,630663198,S Havlin,1299303238,National Institutes of Health,33.0784879,-111.7386357
630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876,157725681,Hernán A. Makse,111088046,Boston University,42.3504997,-71.1053991
630663198,Shlomo Havlin,111088046,Boston University,42.3504997,-71.1053991,157725681,Hernan A. Makse,174216632,City University of New York,40.6670739,-73.9522688
630663198,S Havlin,1299303238,National Institutes of Health,33.0784879,-111.7386357,157725681,Hernan A. Makse,125687163,City College of New York,40.8200471,-73.9492724
630663198,S Havlin,1316910977,DuPont,36.2267173,-95.2803572,157725681,Hernan A. Makse,243754102,Federal University of Ceará,-3.7484821,-38.5766456
630663198,Havlin S,159176309,University of Hamburg,53.5665641,9.984619499999999,157725681,Hernán A. Makse,,"Schlumberger-Doll Research Center, Old Quarry Road, Ridgefield, Connecticut 06877",41.2879652,-73.4929207
2576955417,Wei Li,40963666,Central China Normal University,30.518801,114.358401,630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876
2280072489,J. B. McCarthy,27577105,University College Cork,51.89211239999999,-8.493267099999999,630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876
2004600928,Louis M. Shekhtman,13955877,Bar-Ilan University,32.0691989,34.8430876,2461743080,Vinko Zlatić,861853513,Sapienza University of Rome,41.9037626,12.5144384
2190946209,M. Araujo,111088046,Boston University,42.3504997,-71.1053991,630663198,S. Havlin,13955877,Bar-Ilan University,32.0691989,34.8430876
2428114318,J. S. Andrade,243754102,Federal University of Ceará,-3.7484821,-38.5766456,2157253675,J. Mendes Filho,243754102,Federal University of Ceará,-3.7484821,-38.5766456
